# Team 0: AllInAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
27,Turn,1,-580,580,CHECK,0,"['4s', '6s']","['8s', 'As']","['7s', 'Ad', '3s', '2h']",,4d,100,100
27,Turn,0,-580,580,CHECK,0,"['4s', '6s']","['8s', 'As']","['7s', 'Ad', '3s', '2h']",,4d,100,100
27,River,1,-580,580,CHECK,0,"['4s', '6s']","['8s', 'As']","['7s', 'Ad', '3s', '2h', '5d']",,4d,100,100
27,River,0,-580,580,CHECK,0,"['4s', '6s']","['8s', 'As']","['7s', 'Ad', '3s', '2h', '5d']",,4d,100,100
28,Pre-Flop,0,-480,480,RAISE,98,"['9d', '6h']","['Ah', '3h']","['8d', '3d']",,,1,1
28,Pre-Flop,1,-480,480,CALL,0,"['9d', '6h']","['Ah', '3h']","['8d', '3d']",,,2,2
28,Flop,0,-480,480,CHECK,0,"['9d', '6h']","['Ah', '3h']","['8d', '3d', '6s']",,,100,100
28,Flop,1,-480,480,CHECK,0,"['9d', '6h']","['Ah', '3h']","['8d', '3d', '6s']",,,100,100
28,Turn,0,-480,480,CHECK,0,"['9d', '6h']","['Ah', '3h']","['8d', '3d', '6s', '6d']",,,100,100
28,Turn,1,-480,480,CHECK,0,"['9d', '6h']","['Ah', '3h']","['8d', '3d', '6s', '6d']",,,100,100
28,River,0,-480,480,CHECK,0,"['9d', '6h']","['Ah', '3h']","['8d', '3d', '6s', '6d', '8s']",,,100,100
28,River,1,-480,480,CHECK,0,"['9d', '6h']","['Ah', '3h']","['8d', '3d', '6s', '6d', '8s']",,,100,100
29,Pre-Flop,1,-380,380,CALL,0,"['8h', '4d']","['5h', '6s']","['6d', '7s']",,,1,1
29,Pre-Flop,0,-380,380,RAISE,98,"['8h', '4d']","['5h', '6s']","['6d', '7s']",,,2,2
29,Pre-Flop,1,-380,380,CALL,0,"['8h', '4d']","['5h', '6s']","['6d', '7s']",,,2,2
29,Flop,1,-380,380,CHECK,0,"['8h', '4d']","['5h', '6s']","['6d', '7s', '2s']",,,100,100
29,Flop,0,-380,380,CHECK,0,"['8h', '4d']","['5h', '6s']","['6d', '7s', '2s']",,,100,100
29,Turn,1,-380,380,CHECK,0,"['8h', '4d']","['5h', '6s']","['6d', '7s', '2s', '9d']",,,100,100
29,Turn,0,-380,380,CHECK,0,"['8h', '4d']","['5h', '6s']","['6d', '7s', '2s', '9d']",,,100,100
29,River,1,-380,380,CHECK,0,"['8h', '4d']","['5h', '6s']","['6d', '7s', '2s', '9d', '3s']",,,100,100
29,River,0,-380,380,CHECK,0,"['8h', '4d']","['5h', '6s']","['6d', '7s', '2s', '9d', '3s']",,,100,100
30,Pre-Flop,0,-480,480,RAISE,98,"['5s', '7h']","['Ah', '4d']","['8s', '8d']",,,1,1
30,Pre-Flop,1,-480,480,DISCARD,0,"['5s', '7h']","['Ah', '4d']","['8s', '8d']",,,2,2
30,Pre-Flop,1,-480,480,FOLD,0,"['5s', '7h']","['Ah', '6s']","['8s', '8d']",,4d,2,2
31,Pre-Flop,1,-478,478,CALL,0,"['9s', '9d']","['6s', '7d']","['3h', '2d']",,,1,1
31,Pre-Flop,0,-478,478,RAISE,98,"['9s', '9d']","['6s', '7d']","['3h', '2d']",,,2,2
31,Pre-Flop,1,-478,478,CALL,0,"['9s', '9d']","['6s', '7d']","['3h', '2d']",,,2,2
31,Flop,1,-478,478,CHECK,0,"['9s', '9d']","['6s', '7d']","['3h', '2d', '8h']",,,100,100
